,CABA,,,Buenos Aires,,,Catamarca,,,Córdoba,,,Corrientes,,,Chaco,,,Chubut,,,Entre Ríos,,,Formosa,,,Jujuy,,,La Pampa,,,La Rioja,,,Mendoza,,,Misiones,,,Neuquén,,,Rio Negro,,,Salta,,,San Juan,,,San Luis,,,Santa Cruz,,,Santa Fe,,,Santiago del Estero,,,Tucuman,,,Tierra del Fuego,,
Edad,W_M_CABA,W_V_CABA,W_CABA,W_M_PBA,W_V_PBA,W_PBA,W_M_Catamarca,W_V_Catamarca,W_Catamarca,W_M_Cordoba,W_V_Cordoba,W_Cordoba,W_M_Corrientes,W_V_Corrientes,W_Corrientes,W_M_Chaco,W_V_Chaco,W_Chaco,W_M_Chubut,W_V_Chubut,W_Chubut,W_M_ER,W_V_ER,W_ER,W_M_Formosa,W_V_Formosa,W_Formosa,W_M_Jujuy,W_V_Jujuy,W_Jujuy,W_M_LP,W_V_LP,W_LP,W_M_LR,W_V_LR,W_LR,W_M_Mendoza,W_V_Mendoza,W_Mendoza,W_M_Misiones,W_V_Misiones,W_Misiones,W_M_Neuquen,W_V_Neuquen,W_Neuquen,W_M_RN,W_V_RN,W_RN,W_M_Salta,W_V_Salta,W_Salta,W_M_SJ,W_V_SJ,W_SJ,W_M_SL,W_V_SL,W_SL,W_M_SC,W_V_SC,W_SC,W_M_SF,W_V_SF,W_SF,W_M_SdE,S_V_SdE,W_SdE,W_M_Tucuman,W_V_Tucuman,W_Tucuman,W_M_TdF,W_V_TdF,W_TdF
Total,"0,54","0,46","0,068","0,51","0,49","0,382","0,50","0,50","0,009","0,51","0,49","0,084","0,50","0,50","0,026","0,51","0,49","0,025","0,50","0,50","0,013","0,51","0,49","0,031","0,51","0,49","0,013","0,51","0,49","0,018","0,50","0,50","0,008","0,50","0,50","0,008","0,51","0,49","0,045","0,50","0,50","0,028","0,50","0,50","0,015","0,50","0,50","0,016","0,50","0,50","0,031","0,51","0,49","0,018","0,50","0,50","0,012","0,49","0,51","0,007","0,51","0,49","0,077","0,50","0,50","0,023","0,51","0,49","0,038","0,50","0,50","0,004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,"0,030","0,031",,"0,038","0,041",,"0,040","0,042",,"0,038","0,039",,"0,042","0,045",,"0,044","0,045",,"0,036","0,039",,"0,038","0,039",,"0,047","0,047",,"0,045","0,047",,"0,034","0,037",,"0,042","0,041",,"0,038","0,040",,"0,047","0,048",,"0,037","0,039",,"0,036","0,038",,"0,042","0,044",,"0,041","0,044",,"0,042","0,043",,"0,039","0,041",,"0,036","0,037",,"0,044","0,046",,"0,041","0,042",,"0,037","0,038",
20-24,"0,035","0,033",,"0,036","0,038",,"0,044","0,046",,"0,039","0,040",,"0,043","0,044",,"0,044","0,045",,"0,036","0,038",,"0,039","0,041",,"0,046","0,044",,"0,042","0,046",,"0,034","0,037",,"0,043","0,043",,"0,038","0,039",,"0,046","0,046",,"0,035","0,037",,"0,037","0,039",,"0,044","0,046",,"0,040","0,042",,"0,040","0,042",,"0,034","0,038",,"0,036","0,037",,"0,044","0,047",,"0,043","0,044",,"0,036","0,038",
25-29,"0,040","0,037",,"0,034","0,036",,"0,042","0,045",,"0,039","0,040",,"0,043","0,045",,"0,041","0,042",,"0,038","0,040",,"0,040","0,041",,"0,045","0,043",,"0,040","0,042",,"0,038","0,040",,"0,046","0,046",,"0,039","0,040",,"0,042","0,042",,"0,041","0,042",,"0,039","0,040",,"0,043","0,045",,"0,041","0,043",,"0,039","0,041",,"0,040","0,042",,"0,039","0,040",,"0,042","0,045",,"0,043","0,044",,"0,044","0,046",
30-34,"0,038","0,036",,"0,035","0,036",,"0,040","0,041",,"0,037","0,038",,"0,041","0,041",,"0,038","0,038",,"0,040","0,042",,"0,039","0,040",,"0,039","0,037",,"0,039","0,040",,"0,040","0,041",,"0,043","0,044",,"0,039","0,039",,"0,038","0,039",,"0,044","0,045",,"0,042","0,043",,"0,039","0,040",,"0,039","0,040",,"0,039","0,038",,"0,043","0,045",,"0,039","0,040",,"0,040","0,041",,"0,040","0,040",,"0,049","0,051",
35-39,"0,037","0,035",,"0,034","0,034",,"0,036","0,036",,"0,034","0,035",,"0,035","0,036",,"0,033","0,032",,"0,039","0,040",,"0,036","0,036",,"0,031","0,029",,"0,037","0,037",,"0,038","0,038",,"0,035","0,037",,"0,035","0,036",,"0,033","0,032",,"0,039","0,040",,"0,039","0,040",,"0,035","0,035",,"0,034","0,034",,"0,035","0,036",,"0,040","0,044",,"0,037","0,038",,"0,035","0,036",,"0,034","0,034",,"0,042","0,044",
40-44,"0,034","0,031",,"0,036","0,036",,"0,036","0,037",,"0,036","0,036",,"0,033","0,033",,"0,033","0,032",,"0,037","0,039",,"0,035","0,035",,"0,031","0,029",,"0,038","0,037",,"0,036","0,036",,"0,037","0,038",,"0,035","0,035",,"0,031","0,029",,"0,036","0,036",,"0,036","0,036",,"0,034","0,033",,"0,033","0,033",,"0,036","0,036",,"0,038","0,044",,"0,037","0,037",,"0,035","0,035",,"0,037","0,036",,"0,037","0,040",
45-49,"0,033","0,028",,"0,033","0,033",,"0,031","0,032",,"0,032","0,032",,"0,028","0,027",,"0,028","0,026",,"0,032","0,032",,"0,031","0,031",,"0,027","0,025",,"0,033","0,031",,"0,032","0,032",,"0,032","0,032",,"0,031","0,031",,"0,026","0,026",,"0,032","0,030",,"0,031","0,030",,"0,029","0,028",,"0,031","0,030",,"0,032","0,031",,"0,031","0,034",,"0,032","0,031",,"0,029","0,029",,"0,031","0,030",,"0,030","0,030",
