fecha,encuesta_id,estrato,sexo,edad,nivel_educativo,integrantes_hogar,imagen_candidato,voto,voto_anterior
2024-08-25,1,CABA,Otro,74,Universitario completo o incompleto,2,30,Ns/Nc,Candidato_A
2024-07-23,2,CABA,Femenino,33,Universitario completo o incompleto,4,29,Candidato_B,No fue a votar
2024-02-12,3,Zona Norte,Femenino,34,Terciario completo o incompleto,2,38,Nulo,Nulo
2024-05-17,4,Zona Norte,Femenino,66,Universitario completo o incompleto,5,23,Ns/Nc,Blanco
2024-08-11,5,CABA,Femenino,61,Primario completo o incompleto,2,25,Blanco,Blanco
2024-09-16,6,Zona Oeste,Otro,30,Universitario completo o incompleto,6,63,Ns/Nc,Nulo
2024-08-04,7,Zona Sur,Otro,78,Ns/Nc,1,16,Nulo,Ns/Nc
2024-09-15,8,Zona Sur,Masculino,60,Terciario completo o incompleto,5,35,Ns/Nc,Candidato_A
2024-03-17,9,Zona Norte,Femenino,36,Secundario completo o incompleto,5,13,Candidato_B,Ns/Nc
2024-05-13,10,Zona Norte,Otro,44,Universitario completo o incompleto,4,30,Candidato_A,Candidato_A
2024-09-10,11,Zona Oeste,Otro,30,Secundario completo o incompleto,2,33,Nulo,Blanco
2024-07-23,12,CABA,Otro,72,Primario completo o incompleto,4,96,Candidato_A,Nulo
2024-08-19,13,Zona Oeste,Otro,36,Secundario completo o incompleto,5,2,Ns/Nc,Blanco
2024-05-04,14,Zona Oeste,Femenino,34,Terciario completo o incompleto,6,11,Blanco,Candidato_A
2024-09-08,15,CABA,Masculino,40,Primario completo o incompleto,6,60,Candidato_A,No fue a votar
2024-03-14,16,CABA,Femenino,66,Terciario completo o incompleto,1,48,Blanco,Candidato_B
2024-04-18,17,Zona Norte,Otro,64,Terciario completo o incompleto,1,81,Blanco,Blanco
2024-10-25,18,CABA,Femenino,20,Terciario completo o incompleto,6,78,Candidato_B,No fue a votar
2024-10-02,19,CABA,Otro,64,Secundario completo o incompleto,4,85,Candidato_B,Ns/Nc
2024-05-09,20,Zona Sur,Otro,65,Primario completo o incompleto,6,76,Candidato_A,Nulo
